Title,Created Date, Modified Date,Severity Level,Status
[OpenCanary - HTTPPROXY Login Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_httpproxy_login_attempt.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - HTTP GET Request](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_http_get.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - HTTP POST Login Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_http_post_login_attempt.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - MSSQL Login Attempt Via SQLAuth](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_mssql_login_sqlauth.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - MSSQL Login Attempt Via Windows Authentication](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_mssql_login_winauth.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - MySQL Login Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_mysql_login_attempt.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - NTP Monlist Request](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_ntp_monlist.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - REDIS Action Command Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_redis_command.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - SIP Request](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_sip_request.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - SMB File Open Request](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_smb_file_open.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - SNMP OID Request](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_snmp_cmd.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - SSH Login Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_ssh_login_attempt.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - SSH New Connection Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_ssh_new_connection.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - Telnet Login Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_telnet_login_attempt.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - TFTP Request](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_tftp_request.yml),2024-03-08,2024-03-08,high,test
[OpenCanary - VNC Connection Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/application/opencanary/opencanary_vnc_connection_attempt.yml),2024-03-08,2024-03-08,high,test
[Python SQL Exceptions](https://github.com/SigmaHQ/sigma/blob/master/rules/application/python/app_python_sql_exceptions.yml),2017-08-12,2020-09-01,medium,stable
[Remote Schedule Task Lateral Movement via ATSvc](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_atsvc_lateral_movement.yml),2022-01-01,2022-01-01,high,test
[Remote Schedule Task Recon via AtScv](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_atsvc_recon.yml),2022-01-01,2022-01-01,high,test
[Possible DCSync Attack](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_dcsync_attack.yml),2022-01-01,2022-01-01,high,test
[Remote Encrypting File System Abuse](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_efs_abuse.yml),2022-01-01,2022-01-01,high,test
[Remote Event Log Recon](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_eventlog_recon.yml),2022-01-01,2022-01-01,high,test
[Remote Schedule Task Lateral Movement via ITaskSchedulerService](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_itaskschedulerservice_lateral_movement.yml),2022-01-01,2022-01-01,high,test
[Remote Schedule Task Recon via ITaskSchedulerService](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_itaskschedulerservice_recon.yml),2022-01-01,2022-01-01,high,test
[Remote Printing Abuse for Lateral Movement](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_printing_lateral_movement.yml),2022-01-01,2022-01-01,high,test
[Remote DCOM/WMI Lateral Movement](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_remote_dcom_or_wmi.yml),2022-01-01,2022-01-01,high,test
[Remote Registry Lateral Movement](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_remote_registry_lateral_movement.yml),2022-01-01,2022-01-01,high,test
[Remote Registry Recon](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_remote_registry_recon.yml),2022-01-01,2022-01-01,high,test
[Remote Server Service Abuse](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_remote_server_service_abuse.yml),2022-01-01,2022-01-01,high,test
[Remote Server Service Abuse for Lateral Movement](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_remote_service_lateral_movement.yml),2022-01-01,2022-01-01,high,test
[Remote Schedule Task Lateral Movement via SASec](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_sasec_lateral_movement.yml),2022-01-01,2022-01-01,high,test
[Recon Activity via SASec](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_sasec_recon.yml),2022-01-01,2022-11-17,high,test
[SharpHound Recon Account Discovery](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_sharphound_recon_account.yml),2022-01-01,2022-01-01,high,test
[SharpHound Recon Sessions](https://github.com/SigmaHQ/sigma/blob/master/rules/application/rpc_firewall/rpc_firewall_sharphound_recon_sessions.yml),2022-01-01,2022-01-01,high,test
[Ruby on Rails Framework Exceptions](https://github.com/SigmaHQ/sigma/blob/master/rules/application/ruby/appframework_ruby_on_rails_exceptions.yml),2017-08-06,2020-09-01,medium,stable
[Spring Framework Exceptions](https://github.com/SigmaHQ/sigma/blob/master/rules/application/spring/spring_application_exceptions.yml),2017-08-06,2020-09-01,medium,stable
[Potential SpEL Injection In Spring Framework](https://github.com/SigmaHQ/sigma/blob/master/rules/application/spring/spring_spel_injection.yml),2023-02-11,2023-02-11,high,test
[Suspicious SQL Error Messages](https://github.com/SigmaHQ/sigma/blob/master/rules/application/sql/app_sqlinjection_errors.yml),2017-11-27,2023-02-12,high,test
[Potential Server Side Template Injection In Velocity](https://github.com/SigmaHQ/sigma/blob/master/rules/application/velocity/velocity_ssti_injection.yml),2023-02-11,2023-02-11,high,test
[Antivirus Exploitation Framework Detection](https://github.com/SigmaHQ/sigma/blob/master/rules/category/antivirus/av_exploiting.yml),2018-09-09,2024-11-02,critical,stable
[Antivirus Hacktool Detection](https://github.com/SigmaHQ/sigma/blob/master/rules/category/antivirus/av_hacktool.yml),2021-08-16,2024-11-02,high,stable
[Antivirus Password Dumper Detection](https://github.com/SigmaHQ/sigma/blob/master/rules/category/antivirus/av_password_dumper.yml),2018-09-09,2024-11-02,critical,stable
[Antivirus Ransomware Detection](https://github.com/SigmaHQ/sigma/blob/master/rules/category/antivirus/av_ransomware.yml),2022-05-12,2024-11-02,critical,test
[Antivirus Relevant File Paths Alerts](https://github.com/SigmaHQ/sigma/blob/master/rules/category/antivirus/av_relevant_files.yml),2018-09-09,2024-11-02,high,test
[Antivirus Web Shell Detection](https://github.com/SigmaHQ/sigma/blob/master/rules/category/antivirus/av_webshell.yml),2018-09-09,2024-11-02,high,test
[Suspicious SQL Query](https://github.com/SigmaHQ/sigma/blob/master/rules/category/database/db_anomalous_query.yml),2022-12-27,2022-12-27,medium,test
[AWS CloudTrail Important Change](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_cloudtrail_disable_logging.yml),2020-01-21,2022-10-09,medium,test
[Malicious Usage Of IMDS Credentials Outside Of AWS Infrastructure](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_cloudtrail_imds_malicious_usage.yml),2024-07-11,2024-07-11,high,experimental
[New Network ACL Entry Added](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_cloudtrail_new_acl_entries.yml),2024-07-11,2024-07-11,low,test
[New Network Route Added](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_cloudtrail_new_route_added.yml),2024-07-11,2024-07-11,medium,test
[Ingress/Egress Security Group Modification](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_cloudtrail_security_group_change_ingress_egress.yml),2024-07-11,2024-07-11,medium,test
[LoadBalancer Security Group Modification](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_cloudtrail_security_group_change_loadbalancer.yml),2024-07-11,2024-07-11,medium,test
[RDS Database Security Group Modification](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_cloudtrail_security_group_change_rds.yml),2024-07-11,2024-07-11,medium,test
[Potential Malicious Usage of CloudTrail System Manager](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_cloudtrail_ssm_malicious_usage.yml),2024-07-11,2024-07-11,high,experimental
[AWS Config Disabling Channel/Recorder](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_config_disable_recording.yml),2020-01-21,2022-10-09,high,test
[AWS Console GetSigninToken Potential Abuse](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_console_getsignintoken.yml),2024-02-26,2024-02-26,medium,test
[SES Identity Has Been Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_delete_identity.yml),2022-12-13,2022-12-28,medium,test
[AWS SAML Provider Deletion Activity](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_delete_saml_provider.yml),2024-12-19,2024-12-19,medium,experimental
[AWS S3 Bucket Versioning Disable](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_disable_bucket_versioning.yml),2023-10-28,2023-10-28,medium,test
[AWS EC2 Disable EBS Encryption](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_ec2_disable_encryption.yml),2021-06-29,2021-08-20,medium,stable
[AWS Key Pair Import Activity](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_ec2_import_key_pair_activity.yml),2024-12-19,2024-12-19,medium,experimental
[AWS EC2 Startup Shell Script Change](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_ec2_startup_script_change.yml),2020-02-12,2022-06-07,high,test
[AWS EC2 VM Export Failure](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_ec2_vm_export_failure.yml),2020-04-16,2022-10-05,low,test
[AWS ECS Task Definition That Queries The Credential Endpoint](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_ecs_task_definition_cred_endpoint_query.yml),2022-06-07,2023-04-24,medium,test
[AWS EFS Fileshare Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_efs_fileshare_modified_or_deleted.yml),2021-08-15,2022-10-09,medium,test
[AWS EFS Fileshare Mount Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_efs_fileshare_mount_modified_or_deleted.yml),2021-08-15,2022-10-09,medium,test
[AWS EKS Cluster Created or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_eks_cluster_created_or_deleted.yml),2021-08-16,2022-10-09,low,test
[AWS ElastiCache Security Group Created](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_elasticache_security_group_created.yml),2021-07-24,2022-10-09,low,test
[AWS ElastiCache Security Group Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_elasticache_security_group_modified_or_deleted.yml),2021-07-24,2022-10-09,low,test
[Potential Bucket Enumeration on AWS](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_enum_buckets.yml),2023-01-06,2024-07-10,low,test
[AWS GuardDuty Important Change](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_guardduty_disruption.yml),2020-02-11,2022-10-09,high,test
[AWS IAM Backdoor Users Keys](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_iam_backdoor_users_keys.yml),2020-02-12,2022-10-09,medium,test
[AWS IAM S3Browser LoginProfile Creation](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_iam_s3browser_loginprofile_creation.yml),2023-05-17,2023-05-17,high,test
[AWS IAM S3Browser Templated S3 Bucket Policy Creation](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_iam_s3browser_templated_s3_bucket_policy_creation.yml),2023-05-17,2023-05-17,high,test
[AWS IAM S3Browser User or AccessKey Creation](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_iam_s3browser_user_or_accesskey_creation.yml),2023-05-17,2023-05-17,high,test
[New AWS Lambda Function URL Configuration Created](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_lambda_function_url.yml),2024-12-19,2024-12-19,medium,experimental
[AWS New Lambda Layer Attached](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_new_lambda_layer_attached.yml),2021-09-23,2025-03-17,low,test
[AWS Glue Development Endpoint Activity](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_passed_role_to_glue_development_endpoint.yml),2021-10-03,2022-12-18,low,test
[AWS RDS Master Password Change](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_rds_change_master_password.yml),2020-02-12,2022-10-05,medium,test
[Modification or Deletion of an AWS RDS Cluster](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_rds_dbcluster_actions.yml),2024-12-06,2024-12-06,high,experimental
[Restore Public AWS RDS Instance](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_rds_public_db_restore.yml),2020-02-12,2022-10-09,high,test
[AWS Root Credentials](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_root_account_usage.yml),2020-01-21,2022-10-09,medium,test
[AWS Route 53 Domain Transfer Lock Disabled](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_route_53_domain_transferred_lock_disabled.yml),2021-07-22,2022-10-09,low,test
[AWS Route 53 Domain Transferred to Another Account](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_route_53_domain_transferred_to_another_account.yml),2021-07-22,2022-10-09,low,test
[AWS S3 Data Management Tampering](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_s3_data_management_tampering.yml),2021-07-24,2022-10-09,low,test
[AWS SecurityHub Findings Evasion](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_securityhub_finding_evasion.yml),2021-06-28,2021-06-28,high,stable
[AWS Snapshot Backup Exfiltration](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_snapshot_backup_exfiltration.yml),2021-05-17,2021-08-19,medium,test
[AWS Identity Center Identity Provider Change](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_sso_idp_change.yml),2023-09-27,2023-09-27,high,test
[AWS STS AssumeRole Misuse](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_sts_assumerole_misuse.yml),2021-07-24,2022-10-09,low,test
[AWS STS GetSessionToken Misuse](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_sts_getsessiontoken_misuse.yml),2021-07-24,2022-10-09,low,test
[AWS Suspicious SAML Activity](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_susp_saml_activity.yml),2021-09-22,2022-12-18,medium,test
[AWS User Login Profile Was Modified](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_update_login_profile.yml),2021-08-09,2024-04-26,high,test
[Azure Active Directory Hybrid Health AD FS New Server](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_aadhybridhealth_adfs_new_server.yml),2021-08-26,2023-10-11,medium,test
[Azure Active Directory Hybrid Health AD FS Service Delete](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_aadhybridhealth_adfs_service_delete.yml),2021-08-26,2023-10-11,medium,test
[User Added to an Administrator's Azure AD Role](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_ad_user_added_to_admin_role.yml),2021-10-04,2022-10-09,medium,test
[Azure Application Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_application_deleted.yml),2021-09-03,2022-10-09,medium,test
[Azure Application Gateway Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_application_gateway_modified_or_deleted.yml),2021-08-16,2022-08-23,medium,test
[Azure Application Security Group Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_application_security_group_modified_or_deleted.yml),2021-08-16,2022-08-23,medium,test
[Azure Application Credential Modified](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_app_credential_modification.yml),2021-09-02,2022-10-09,medium,test
[Azure Container Registry Created or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_container_registry_created_or_deleted.yml),2021-08-07,2022-08-23,low,test
[Number Of Resource Creation Or Deployment Activities](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_creating_number_of_resources_detection.yml),2020-05-07,2023-10-11,medium,test
[Azure Device No Longer Managed or Compliant](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_device_no_longer_managed_or_compliant.yml),2021-09-03,2022-10-09,medium,test
[Azure Device or Configuration Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_device_or_configuration_modified_or_deleted.yml),2021-09-03,2022-10-09,medium,test
[Azure DNS Zone Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_dns_zone_modified_or_deleted.yml),2021-08-08,2022-08-23,medium,test
[Azure Firewall Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_firewall_modified_or_deleted.yml),2021-08-08,2022-08-23,medium,test
[Azure Firewall Rule Collection Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_firewall_rule_collection_modified_or_deleted.yml),2021-08-08,2022-08-23,medium,test
[Granting Of Permissions To An Account](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_granting_permission_detection.yml),2020-05-07,2023-10-11,medium,test
[Azure Keyvault Key Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_keyvault_key_modified_or_deleted.yml),2021-08-16,2022-08-23,medium,test
[Azure Key Vault Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_keyvault_modified_or_deleted.yml),2021-08-16,2022-08-23,medium,test
[Azure Keyvault Secrets Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_keyvault_secrets_modified_or_deleted.yml),2021-08-16,2022-08-23,medium,test
[Azure Kubernetes Admission Controller](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_kubernetes_admission_controller.yml),2021-11-25,2022-12-18,medium,test
[Azure Kubernetes Cluster Created or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_kubernetes_cluster_created_or_deleted.yml),2021-08-07,2022-08-23,low,test
[Azure Kubernetes CronJob](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_kubernetes_cronjob.yml),2021-11-22,2022-12-18,medium,test
[Azure Kubernetes Events Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_kubernetes_events_deleted.yml),2021-07-24,2022-08-23,medium,test
[Azure Kubernetes Network Policy Change](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_kubernetes_network_policy_change.yml),2021-08-07,2022-08-23,medium,test
[Azure Kubernetes Pods Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_kubernetes_pods_deleted.yml),2021-07-24,2022-08-23,medium,test
[Azure Kubernetes RoleBinding/ClusterRoleBinding Modified and Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_kubernetes_rolebinding_modified_or_deleted.yml),2021-08-07,2022-08-23,medium,test
[Azure Kubernetes Sensitive Role Access](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_kubernetes_role_access.yml),2021-08-07,2022-08-23,medium,test
[Azure Kubernetes Secret or Config Object Access](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_kubernetes_secret_or_config_object_access.yml),2021-08-07,2022-08-23,medium,test
[Azure Kubernetes Service Account Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_kubernetes_service_account_modified_or_deleted.yml),2021-08-07,2022-08-23,medium,test
[Disabled MFA to Bypass Authentication Mechanisms](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_mfa_disabled.yml),2022-02-08,2022-02-08,medium,test
[Azure Network Firewall Policy Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_network_firewall_policy_modified_or_deleted.yml),2021-09-02,2022-08-23,medium,test
[Azure Firewall Rule Configuration Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_network_firewall_rule_modified_or_deleted.yml),2021-08-08,2022-08-23,medium,test
[Azure Point-to-site VPN Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_network_p2s_vpn_modified_or_deleted.yml),2021-08-08,2022-08-23,medium,test
[Azure Network Security Configuration Modified or Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/azure/activity_logs/azure_network_security_modified_or_deleted.yml),2021-08-08,2022-08-23,medium,test
